2022-07-26 15:37:59.926 > INFO   springAppName_IS_UNDEFINED o.a.f.a.j.typeutils.TypeExtractor class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit does not contain a setter for field modificationTime
2022-07-26 15:38:02.091 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Connecting to ResourceManager akka://flink/user/resourcemanager_291abeab-09a4-4b9d-b74d-85d6750a284e(a15c6bcdb99d52265a3589a610bc4349).
2022-07-26 15:38:02.091 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.filecache.FileCache User file cache uses directory C:\Users\Mechrevo\AppData\Local\Temp\flink-dist-cache-2cfa2896-0abc-4080-9fd9-c2ffecad31fe
2022-07-26 15:38:02.092 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting dispatcher rest endpoint.
2022-07-26 15:38:02.110 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Resolved ResourceManager address, beginning registration
2022-07-26 15:38:02.110 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Registration at ResourceManager attempt 1 (timeout=100ms)
2022-07-26 15:38:02.117 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.StandaloneResourceManager Registering TaskManager with ResourceID 2491f1d1-ca1a-4bcb-b048-5305c450a074 (akka://flink/user/taskmanager_0) at ResourceManager
2022-07-26 15:38:02.119 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Successful registration at resource manager akka://flink/user/resourcemanager_291abeab-09a4-4b9d-b74d-85d6750a284e under registration id e804caa3b9abdd8f87a967036024616f.
2022-07-26 15:38:02.121 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.slotmanager.SlotManager Registering TaskManager 2491f1d1-ca1a-4bcb-b048-5305c450a074 under e804caa3b9abdd8f87a967036024616f at the SlotManager.
2022-07-26 15:38:02.130 > INFO   springAppName_IS_UNDEFINED o.a.f.r.d.DispatcherRestEndpoint Starting rest endpoint.
2022-07-26 15:38:02.358 > WARN   springAppName_IS_UNDEFINED o.a.f.r.webmonitor.WebMonitorUtils Log file environment variable 'log.file' is not set.
2022-07-26 15:38:02.358 > WARN   springAppName_IS_UNDEFINED o.a.f.r.webmonitor.WebMonitorUtils JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'Key: 'web.log.path' , default: null (deprecated keys: [jobmanager.web.log.path])'.
2022-07-26 15:38:04.142 > INFO   springAppName_IS_UNDEFINED o.a.f.r.d.DispatcherRestEndpoint Rest endpoint listening at localhost:49393
2022-07-26 15:38:04.142 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Proposing leadership to contender org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint@392a04e7 @ http://localhost:49393
2022-07-26 15:38:04.142 > INFO   springAppName_IS_UNDEFINED o.a.f.r.d.DispatcherRestEndpoint Web frontend listening at http://localhost:49393.
2022-07-26 15:38:04.142 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting job dispatcher(s) for JobManger
2022-07-26 15:38:04.142 > INFO   springAppName_IS_UNDEFINED o.a.f.r.d.DispatcherRestEndpoint http://localhost:49393 was granted leadership with leaderSessionID=c1bcc69b-ad1e-4a5c-a9f1-43c2d77d6a04
2022-07-26 15:38:04.143 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Received confirmation of leadership for leader http://localhost:49393 , session=c1bcc69b-ad1e-4a5c-a9f1-43c2d77d6a04
2022-07-26 15:38:04.151 > INFO   springAppName_IS_UNDEFINED o.a.f.r.rpc.akka.AkkaRpcService Starting RPC endpoint for org.apache.flink.runtime.dispatcher.StandaloneDispatcher at akka://flink/user/dispatcher6ad0c255-d581-4e65-aad8-c999bf034d49 .
2022-07-26 15:38:04.160 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Proposing leadership to contender org.apache.flink.runtime.dispatcher.StandaloneDispatcher@2dbd803f @ akka://flink/user/dispatcher6ad0c255-d581-4e65-aad8-c999bf034d49
2022-07-26 15:38:04.160 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Flink Mini Cluster started successfully
2022-07-26 15:38:04.161 > INFO   springAppName_IS_UNDEFINED o.a.f.r.d.StandaloneDispatcher Dispatcher akka://flink/user/dispatcher6ad0c255-d581-4e65-aad8-c999bf034d49 was granted leadership with fencing token 89941f82-7142-4b1a-b211-033eac932a00
2022-07-26 15:38:04.163 > INFO   springAppName_IS_UNDEFINED o.a.f.r.d.StandaloneDispatcher Recovering all persisted jobs.
2022-07-26 15:38:04.165 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Received confirmation of leadership for leader akka://flink/user/dispatcher6ad0c255-d581-4e65-aad8-c999bf034d49 , session=89941f82-7142-4b1a-b211-033eac932a00
2022-07-26 15:38:04.172 > INFO   springAppName_IS_UNDEFINED o.a.f.r.d.StandaloneDispatcher Submitting job 651d45b8edc9561abe95c12655ade082 (Socket Window Count).
2022-07-26 15:38:04.196 > INFO   springAppName_IS_UNDEFINED o.a.f.r.rpc.akka.AkkaRpcService Starting RPC endpoint for org.apache.flink.runtime.jobmaster.JobMaster at akka://flink/user/jobmanager_1 .
2022-07-26 15:38:04.203 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster Initializing job Socket Window Count (651d45b8edc9561abe95c12655ade082).
2022-07-26 15:38:04.209 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster Using restart strategy NoRestartStrategy for Socket Window Count (651d45b8edc9561abe95c12655ade082).
2022-07-26 15:38:04.213 > INFO   springAppName_IS_UNDEFINED o.a.f.r.rpc.akka.AkkaRpcService Starting RPC endpoint for org.apache.flink.runtime.jobmaster.slotpool.SlotPool at akka://flink/user/0693a1f7-ccd0-46bb-bd3b-0cbbfd7e5695 .
2022-07-26 15:38:04.231 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Job recovers via failover strategy: full graph restart
2022-07-26 15:38:04.253 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster Running initialization on master for job Socket Window Count (651d45b8edc9561abe95c12655ade082).
2022-07-26 15:38:04.253 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster Successfully ran initialization on master in 0 ms.
2022-07-26 15:38:04.271 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster No state backend has been configured, using default (Memory / JobManager) MemoryStateBackend (data in heap memory / checkpoints to JobManager) (checkpoints: 'null', savepoints: 'null', asynchronous: TRUE, maxStateSize: 5242880)
2022-07-26 15:38:04.281 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Proposing leadership to contender org.apache.flink.runtime.jobmaster.JobManagerRunner@7a1fc051 @ akka://flink/user/jobmanager_1
2022-07-26 15:38:04.281 > INFO   springAppName_IS_UNDEFINED o.a.f.r.jobmaster.JobManagerRunner JobManager runner for job Socket Window Count (651d45b8edc9561abe95c12655ade082) was granted leadership with session id 3effc08e-8ca9-4494-9adf-0414d9f39aa9 at akka://flink/user/jobmanager_1.
2022-07-26 15:38:04.283 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster Starting execution of job Socket Window Count (651d45b8edc9561abe95c12655ade082)
2022-07-26 15:38:04.283 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Job Socket Window Count (651d45b8edc9561abe95c12655ade082) switched from state CREATED to RUNNING.
2022-07-26 15:38:04.286 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) switched from CREATED to SCHEDULED.
2022-07-26 15:38:04.289 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Split Reader: Custom File Source -> Flat Map (1/1) (a397d96e0dbf1400203e2c4fc76e7d75) switched from CREATED to SCHEDULED.
2022-07-26 15:38:04.289 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Keyed Aggregation -> Sink: Print to Std. Out (1/1) (c9dfaffff09fcbc6bf605694b305eb69) switched from CREATED to SCHEDULED.
2022-07-26 15:38:04.291 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Received confirmation of leadership for leader akka://flink/user/jobmanager_1 , session=3effc08e-8ca9-4494-9adf-0414d9f39aa9
2022-07-26 15:38:04.291 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster Connecting to ResourceManager akka://flink/user/resourcemanager_291abeab-09a4-4b9d-b74d-85d6750a284e(a15c6bcdb99d52265a3589a610bc4349)
2022-07-26 15:38:04.292 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster Resolved ResourceManager address, beginning registration
2022-07-26 15:38:04.292 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster Registration at ResourceManager attempt 1 (timeout=100ms)
2022-07-26 15:38:04.294 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.StandaloneResourceManager Registering job manager 9adf0414d9f39aa93effc08e8ca94494@akka://flink/user/jobmanager_1 for job 651d45b8edc9561abe95c12655ade082.
2022-07-26 15:38:04.295 > INFO   springAppName_IS_UNDEFINED o.a.f.r.jobmaster.slotpool.SlotPool Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{3beb2d610569a5ed054140b4d91b6456}]
2022-07-26 15:38:04.297 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.StandaloneResourceManager Registered job manager 9adf0414d9f39aa93effc08e8ca94494@akka://flink/user/jobmanager_1 for job 651d45b8edc9561abe95c12655ade082.
2022-07-26 15:38:04.298 > INFO   springAppName_IS_UNDEFINED o.a.f.runtime.jobmaster.JobMaster JobManager successfully registered at ResourceManager, leader id: a15c6bcdb99d52265a3589a610bc4349.
2022-07-26 15:38:04.299 > INFO   springAppName_IS_UNDEFINED o.a.f.r.jobmaster.slotpool.SlotPool Requesting new slot [SlotRequestId{3beb2d610569a5ed054140b4d91b6456}] and profile ResourceProfile{cpuCores=-1.0, heapMemoryInMB=-1, directMemoryInMB=0, nativeMemoryInMB=0, networkMemoryInMB=0} from resource manager.
2022-07-26 15:38:04.300 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.StandaloneResourceManager Request slot with profile ResourceProfile{cpuCores=-1.0, heapMemoryInMB=-1, directMemoryInMB=0, nativeMemoryInMB=0, networkMemoryInMB=0} for job 651d45b8edc9561abe95c12655ade082 with allocation id AllocationID{8230c5efaf6c737e93d8555dc2c0704b}.
2022-07-26 15:38:04.301 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Receive slot request AllocationID{8230c5efaf6c737e93d8555dc2c0704b} for job 651d45b8edc9561abe95c12655ade082 from resource manager with leader id a15c6bcdb99d52265a3589a610bc4349.
2022-07-26 15:38:04.301 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Allocated slot for AllocationID{8230c5efaf6c737e93d8555dc2c0704b}.
2022-07-26 15:38:04.301 > INFO   springAppName_IS_UNDEFINED o.a.f.r.t.JobLeaderService Add job 651d45b8edc9561abe95c12655ade082 for job leader monitoring.
2022-07-26 15:38:04.303 > INFO   springAppName_IS_UNDEFINED o.a.f.r.t.JobLeaderService Try to register at job manager akka://flink/user/jobmanager_1 with leader id 3effc08e-8ca9-4494-9adf-0414d9f39aa9.
2022-07-26 15:38:04.303 > INFO   springAppName_IS_UNDEFINED o.a.f.r.t.JobLeaderService Resolved JobManager address, beginning registration
2022-07-26 15:38:04.304 > INFO   springAppName_IS_UNDEFINED o.a.f.r.t.JobLeaderService Registration at JobManager attempt 1 (timeout=100ms)
2022-07-26 15:38:04.305 > INFO   springAppName_IS_UNDEFINED o.a.f.r.t.JobLeaderService Successful registration at job manager akka://flink/user/jobmanager_1 for job 651d45b8edc9561abe95c12655ade082.
2022-07-26 15:38:04.305 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Establish JobManager connection for job 651d45b8edc9561abe95c12655ade082.
2022-07-26 15:38:04.308 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Offer reserved slots to the leader of job 651d45b8edc9561abe95c12655ade082.
2022-07-26 15:38:04.308 > INFO   springAppName_IS_UNDEFINED o.a.f.r.t.slot.TaskSlotTable Activate slot AllocationID{8230c5efaf6c737e93d8555dc2c0704b}.
2022-07-26 15:38:04.315 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) switched from SCHEDULED to DEPLOYING.
2022-07-26 15:38:04.316 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Deploying Source: Custom File Source (1/1) (attempt #0) to 127.0.0.1
2022-07-26 15:38:04.318 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Split Reader: Custom File Source -> Flat Map (1/1) (a397d96e0dbf1400203e2c4fc76e7d75) switched from SCHEDULED to DEPLOYING.
2022-07-26 15:38:04.318 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Deploying Split Reader: Custom File Source -> Flat Map (1/1) (attempt #0) to 127.0.0.1
2022-07-26 15:38:04.320 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Keyed Aggregation -> Sink: Print to Std. Out (1/1) (c9dfaffff09fcbc6bf605694b305eb69) switched from SCHEDULED to DEPLOYING.
2022-07-26 15:38:04.320 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Deploying Keyed Aggregation -> Sink: Print to Std. Out (1/1) (attempt #0) to 127.0.0.1
2022-07-26 15:38:04.337 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Received task Source: Custom File Source (1/1).
2022-07-26 15:38:04.338 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) switched from CREATED to DEPLOYING.
2022-07-26 15:38:04.338 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Creating FileSystem stream leak safety net for task Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) [DEPLOYING]
2022-07-26 15:38:04.341 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Loading JAR files for task Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) [DEPLOYING].
2022-07-26 15:38:04.342 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Registering task at network: Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) [DEPLOYING].
2022-07-26 15:38:04.342 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Received task Split Reader: Custom File Source -> Flat Map (1/1).
2022-07-26 15:38:04.343 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Split Reader: Custom File Source -> Flat Map (1/1) (a397d96e0dbf1400203e2c4fc76e7d75) switched from CREATED to DEPLOYING.
2022-07-26 15:38:04.343 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Creating FileSystem stream leak safety net for task Split Reader: Custom File Source -> Flat Map (1/1) (a397d96e0dbf1400203e2c4fc76e7d75) [DEPLOYING]
2022-07-26 15:38:04.343 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Loading JAR files for task Split Reader: Custom File Source -> Flat Map (1/1) (a397d96e0dbf1400203e2c4fc76e7d75) [DEPLOYING].
2022-07-26 15:38:04.344 > INFO   springAppName_IS_UNDEFINED o.a.f.r.taskexecutor.TaskExecutor Received task Keyed Aggregation -> Sink: Print to Std. Out (1/1).
2022-07-26 15:38:04.344 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Registering task at network: Split Reader: Custom File Source -> Flat Map (1/1) (a397d96e0dbf1400203e2c4fc76e7d75) [DEPLOYING].
2022-07-26 15:38:04.345 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Keyed Aggregation -> Sink: Print to Std. Out (1/1) (c9dfaffff09fcbc6bf605694b305eb69) switched from CREATED to DEPLOYING.
2022-07-26 15:38:04.345 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Creating FileSystem stream leak safety net for task Keyed Aggregation -> Sink: Print to Std. Out (1/1) (c9dfaffff09fcbc6bf605694b305eb69) [DEPLOYING]
2022-07-26 15:38:04.345 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Loading JAR files for task Keyed Aggregation -> Sink: Print to Std. Out (1/1) (c9dfaffff09fcbc6bf605694b305eb69) [DEPLOYING].
2022-07-26 15:38:04.346 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Registering task at network: Keyed Aggregation -> Sink: Print to Std. Out (1/1) (c9dfaffff09fcbc6bf605694b305eb69) [DEPLOYING].
2022-07-26 15:38:04.365 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Keyed Aggregation -> Sink: Print to Std. Out (1/1) (c9dfaffff09fcbc6bf605694b305eb69) switched from DEPLOYING to RUNNING.
2022-07-26 15:38:04.365 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Keyed Aggregation -> Sink: Print to Std. Out (1/1) (c9dfaffff09fcbc6bf605694b305eb69) switched from DEPLOYING to RUNNING.
2022-07-26 15:38:04.368 > INFO   springAppName_IS_UNDEFINED o.a.f.s.runtime.tasks.StreamTask No state backend has been configured, using default (Memory / JobManager) MemoryStateBackend (data in heap memory / checkpoints to JobManager) (checkpoints: 'null', savepoints: 'null', asynchronous: TRUE, maxStateSize: 5242880)
2022-07-26 15:38:04.370 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) switched from DEPLOYING to RUNNING.
2022-07-26 15:38:04.370 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Split Reader: Custom File Source -> Flat Map (1/1) (a397d96e0dbf1400203e2c4fc76e7d75) switched from DEPLOYING to RUNNING.
2022-07-26 15:38:04.371 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) switched from DEPLOYING to RUNNING.
2022-07-26 15:38:04.371 > INFO   springAppName_IS_UNDEFINED o.a.f.s.runtime.tasks.StreamTask No state backend has been configured, using default (Memory / JobManager) MemoryStateBackend (data in heap memory / checkpoints to JobManager) (checkpoints: 'null', savepoints: 'null', asynchronous: TRUE, maxStateSize: 5242880)
2022-07-26 15:38:04.371 > INFO   springAppName_IS_UNDEFINED o.a.f.s.runtime.tasks.StreamTask No state backend has been configured, using default (Memory / JobManager) MemoryStateBackend (data in heap memory / checkpoints to JobManager) (checkpoints: 'null', savepoints: 'null', asynchronous: TRUE, maxStateSize: 5242880)
2022-07-26 15:38:04.371 > INFO   springAppName_IS_UNDEFINED o.a.f.r.e.ExecutionGraph Split Reader: Custom File Source -> Flat Map (1/1) (a397d96e0dbf1400203e2c4fc76e7d75) switched from DEPLOYING to RUNNING.
2022-07-26 15:38:04.406 > INFO   springAppName_IS_UNDEFINED o.a.f.s.a.f.s.ContinuousFileReaderOperator No state to restore for the ContinuousFileReaderOperator (taskIdx=0).
2022-07-26 15:38:04.406 > INFO   springAppName_IS_UNDEFINED o.a.f.s.a.f.s.ContinuousFileMonitoringFunction No state to restore for the ContinuousFileMonitoringFunction.
2022-07-26 15:38:04.413 > INFO   springAppName_IS_UNDEFINED org.apache.flink.core.fs.FileSystem Hadoop is not in the classpath/dependencies. The extended set of supported File Systems via Hadoop is not available.
2022-07-26 15:38:04.419 > INFO   springAppName_IS_UNDEFINED o.a.f.r.s.h.HeapKeyedStateBackend Initializing heap keyed state backend with stream factory.
2022-07-26 15:38:04.422 > INFO   springAppName_IS_UNDEFINED o.a.f.s.a.f.s.ContinuousFileMonitoringFunction Forwarding split: [0] file:/D:/work/workspace/work_workspace/autoimpactanalysis/src/main/resources/data.txt mod@ 1658108489187 : 0 + 23
2022-07-26 15:38:04.633 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) switched from RUNNING to FINISHED.
2022-07-26 15:38:04.634 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Freeing task resources for Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a).
2022-07-26 15:38:04.634 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.taskmanager.Task Ensuring all FileSystem streams are closed for task Source: Custom File Source (1/1) (ce56094882a6d4548b9e444fd332296a) [FINISHED]
