2022-07-27 10:01:32.606 > INFO   springAppName_IS_UNDEFINED o.a.f.a.j.typeutils.TypeExtractor class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit does not contain a setter for field modificationTime
2022-07-27 10:01:32.609 > INFO   springAppName_IS_UNDEFINED o.a.f.a.j.typeutils.TypeExtractor Class class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit cannot be used as a POJO type because not all fields are valid POJO fields, and must be processed as GenericType. Please read the Flink documentation on "Data Types & Serialization" for details of the effect on performance.
2022-07-27 10:01:32.829 > INFO   springAppName_IS_UNDEFINED o.a.f.s.a.e.LocalStreamEnvironment Running job on local embedded Flink mini cluster
2022-07-27 10:01:32.837 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting Flink Mini Cluster
2022-07-27 10:01:33.043 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting Metrics Registry
2022-07-27 10:01:33.072 > INFO   springAppName_IS_UNDEFINED o.a.f.r.metrics.MetricRegistryImpl No metrics reporter configured, no metrics will be exposed/reported.
2022-07-27 10:01:33.072 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting RPC Service(s)
2022-07-27 10:01:33.435 > INFO   springAppName_IS_UNDEFINED akka.event.slf4j.Slf4jLogger Slf4jLogger started
2022-07-27 10:01:33.453 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting high-availability services
2022-07-27 10:01:34.297 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.blob.BlobServer Created BLOB server storage directory C:\Users\Mechrevo\AppData\Local\Temp\blobStore-52cd69ed-0a1e-4869-8d4f-0b112825b8c3
2022-07-27 10:01:34.325 > INFO   springAppName_IS_UNDEFINED o.a.flink.runtime.blob.BlobServer Started BLOB server at 0.0.0.0:51171 - max concurrent requests: 50 - max backlog: 1000
2022-07-27 10:01:34.327 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting ResourceManger
2022-07-27 10:01:34.343 > INFO   springAppName_IS_UNDEFINED o.a.f.r.rpc.akka.AkkaRpcService Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at akka://flink/user/resourcemanager_7c1e497d-6f06-47b3-8a25-d6aa96eafd24 .
2022-07-27 10:01:34.362 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Proposing leadership to contender org.apache.flink.runtime.resourcemanager.StandaloneResourceManager@77192705 @ akka://flink/user/resourcemanager_7c1e497d-6f06-47b3-8a25-d6aa96eafd24
2022-07-27 10:01:34.365 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.StandaloneResourceManager ResourceManager akka://flink/user/resourcemanager_7c1e497d-6f06-47b3-8a25-d6aa96eafd24 was granted leadership with fencing token 8e63b600f50401a3563a1b1569e64cc2
2022-07-27 10:01:34.366 > INFO   springAppName_IS_UNDEFINED o.a.f.r.r.slotmanager.SlotManager Starting the SlotManager.
2022-07-27 10:01:34.367 > INFO   springAppName_IS_UNDEFINED o.a.f.r.h.n.e.EmbeddedLeaderService Received confirmation of leadership for leader akka://flink/user/resourcemanager_7c1e497d-6f06-47b3-8a25-d6aa96eafd24 , session=563a1b15-69e6-4cc2-8e63-b600f50401a3
2022-07-27 10:01:34.378 > INFO   springAppName_IS_UNDEFINED o.a.f.r.blob.PermanentBlobCache Created BLOB cache storage directory C:\Users\Mechrevo\AppData\Local\Temp\blobStore-993ef434-4e3d-4ad4-bcf3-02798ca92296
2022-07-27 10:01:34.380 > INFO   springAppName_IS_UNDEFINED o.a.f.r.blob.TransientBlobCache Created BLOB cache storage directory C:\Users\Mechrevo\AppData\Local\Temp\blobStore-ec27f966-4f14-426f-8a4b-29d96b3a0917
2022-07-27 10:01:34.380 > INFO   springAppName_IS_UNDEFINED o.a.f.r.minicluster.MiniCluster Starting 1 TaskManger(s)
2022-07-27 10:01:34.383 > INFO   springAppName_IS_UNDEFINED o.a.f.r.t.TaskManagerRunner Starting TaskManager with ResourceID: ed313b06-124c-4b61-8c78-4966836f19cc
2022-07-27 10:01:34.434 > INFO   springAppName_IS_UNDEFINED o.a.f.r.t.TaskManagerServices Temporary file directory 'C:\Users\Mechrevo\AppData\Local\Temp': total 340 GB, usable 263 GB (77.35% usable)
2022-07-27 10:01:34.621 > INFO   springAppName_IS_UNDEFINED o.a.f.r.i.n.b.NetworkBufferPool Allocated 401 MB for network buffer pool (number of memory segments: 12839, bytes per segment: 32768).
2022-07-27 10:01:34.627 > INFO   springAppName_IS_UNDEFINED o.a.f.r.query.QueryableStateUtils Could not load Queryable State Client Proxy. Probable reason: flink-queryable-state-runtime is not in the classpath. To enable Queryable State, please move the flink-queryable-state-runtime jar from the opt to the lib folder.
2022-07-27 10:01:34.627 > INFO   springAppName_IS_UNDEFINED o.a.f.r.query.QueryableStateUtils Could not load Queryable State Server. Probable reason: flink-queryable-state-runtime is not in the classpath. To enable Queryable State, please move the flink-queryable-state-runtime jar from the opt to the lib folder.
